Pathway	Genes of pathway	Enzymes of pathway	Accession
chorismate biosynthesis I	aroB // aroF-II // aroF-I // aroH // aroC // tyrA // aroK // PP_3768 // aroE // PP_2406 // aroQ-III // aroQ-II // aroQ-I	3-dehydroquinate synthase // tyr-sensitive phospho-2-dehydro-3-deoxyheptonate aldolase // tyr-sensitive phospho-2-dehydro-3-deoxyheptonate aldolase // 3-deoxy-7-phosphoheptulonate synthase // chorismate synthase // prephenate dehydrogenase // shikimate kinase // shikimate 5-dehydrogenase // shikimate 5-dehydrogenase // quinate/shikimate dehydrogenase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase	PP_5078 // PP_3080 // PP_2324 // PP_1866 // PP_1830 // PP_1770 // PP_5079 // PP_3768 // PP_0074 // PP_2406 // PP_3003 // PP_2407 // PP_0560
CMP phosphorylation	cmk // ndk	cytidylate kinase // nucleoside diphosphate kinase	PP_1771 // PP_0849
CMP-3-deoxy-D-manno-octulosonate biosynthesis	kdsB // kdsC // kdsA-II // kdsA-I // PP_1806 // kdsD	3-deoxy-manno-octulosonate cytidylyltransferase // 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase // 2-dehydro-3-deoxyphosphooctonate aldolase // 2-dehydro-3-deoxyphosphooctonate aldolase // arabinose 5-phosphate isomerase // D-arabinose 5-phosphate isomerase	PP_1902 // PP_0956 // PP_1807 // PP_1611 // PP_1806 // PP_0957
cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	cobI // cobG // cobJ // cobM // PP_3763 // cobK // cobH // cobB // cobN // cysG // cobA // cobL	precorrin-2 C(20)-methyltransferase // precorrin-3B synthase // precorrin-3B C17-methyltransferase // precorrin-4 C(11)-methyltransferase // precorrin-6A synthase // precorrin-6x reductase // precorrin-8X methylmutase // cobyrinate a,c-diamide synthase // aerobic cobaltochelatase subunit CobN // multifunctional uroporphyrinogen-III C-methyltransferase/precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase // uroporphyrinogen-III C-methyltransferase // precorrin-6Y C(5,15)-methyltransferase	PP_4827 // PP_4829 // PP_4826 // PP_3410 // PP_3763 // PP_4832 // PP_4828 // PP_1673 // PP_3507 // PP_3999 // PP_2090 // PP_4830
coenzyme A biosynthesis I (prokaryotic)	coaD // coaE // dfp	phosphopantetheine adenylyltransferase // dephospho-CoA kinase // bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase	PP_5123 // PP_0631 // PP_5285
conifeyl alcohol degradation	calA // calB	coniferyl alcohol dehydrogenase // coniferyl aldehyde dehydrogenase	PP_3839 // PP_5120
creatinine degradation I	creA // PP_3775 // soxG // soxA // soxD // soxB	creatinase // sarcosine oxidase subunit alpha // sarcosine oxidase // sarcosine oxidase	PP_3667 // PP_3775 // PP_0326 // PP_0325 // PP_0324 // PP_0323
curcumin degradation	curA	NADPH-dependent curcumin/dihydrocurcumin reductase	PP_2476
cyclopropane fatty acid (CFA) biosynthesis	cfaA // cfaB	cyclopropane synthase A // cyclopropane synthase B	PP_2734 // PP_5365
D-alanine biosynthesis	dadX // alr	alanine racemase // amino acid racemase	PP_5269 // PP_3722
D-galactarate degradation II	garD // PP_2834 // kdgD // PP_2585 // PP_3602	galactarate dehydratase // D-galactarate dehydratase/altronate dehydratase // 5-dehydro-4-deoxyglucarate dehydratase // alpha-ketoglutaric semialdehyde dehydrogenase // 2,5-dioxovalerate dehydrogenase	PP_3601 // PP_2834 // PP_3599 // PP_2585 // PP_3602
D-galacturonate degradation I	PP_2834 // kguK // eda	D-galactarate dehydratase/altronate dehydratase // 2-ketogluconokinase // KHG/KDPG aldolase	PP_2834 // PP_3378 // PP_1024
D-galacturonate degradation II	udh // kdgD // PP_2585 // PP_3602	uronate dehydrogenase // 5-dehydro-4-deoxyglucarate dehydratase // alpha-ketoglutaric semialdehyde dehydrogenase // 2,5-dioxovalerate dehydrogenase	PP_1171 // PP_3599 // PP_2585 // PP_3602
D-glucarate degradation II	kdgD // PP_2585 // PP_3602 // gudD	5-dehydro-4-deoxyglucarate dehydratase // alpha-ketoglutaric semialdehyde dehydrogenase // 2,5-dioxovalerate dehydrogenase // bifunctional D-glucarate dehydratase/L-idarate epimerase	PP_3599 // PP_2585 // PP_3602 // PP_4757
D-gluconate degradation	gnuK	D-gluconate kinase	PP_3416
D-glucosaminate degradation	eda	KHG/KDPG aldolase	PP_1024
D-glucuronate degradation II	udh // kdgD // PP_2585 // PP_3602	uronate dehydrogenase // 5-dehydro-4-deoxyglucarate dehydratase // alpha-ketoglutaric semialdehyde dehydrogenase // 2,5-dioxovalerate dehydrogenase	PP_1171 // PP_3599 // PP_2585 // PP_3602
di-trans,poly-cis-undecaprenyl phosphate biosynthesis	uppS // uppP	(2E,6E)-farnesyl-diphosphate specific ditrans,polycis-undecaprenyl-diphosphate synthase // undecaprenyl-diphosphatase	PP_1595 // PP_2862
D-mannose degradation	algA // PP_4860 // PP_1776	mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase // mannose-6-phosphate isomerase // bifunctional mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase	PP_1277 // PP_4860 // PP_1776
dTDP-L-rhamnose biosynthesis	rmlC1 // rmlC2 // rmlD // rmlA // rmlB	dTDP-4-dehydrorhamnose 3,5-epimerase // dTDP-4-dehydrorhamnose 3,5-epimerase // dTDP-4-dehydrorhamnose reductase // dTDP-glucose pyrophosphorylase // dTDP-glucose 4,6-dehydratase	PP_1782 // PP_0265 // PP_1784 // PP_1783 // PP_1785
Entner-Doudoroff pathway I	eda // edd // zwf-3 // zwf-2 // zwf-1 // pgl // PP_0665 // gapA // gapB // PP_3443 // pgk // eno // pykF // pykA // glk	KHG/KDPG aldolase // phosphogluconate dehydratase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate-1-dehydrogenase // 6-phosphogluconolactonase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // phosphoglycerate kinase // enolase // pyruvate kinase // pyruvate kinase II // glucokinase	PP_1024 // PP_1010 // PP_5351 // PP_4042 // PP_1022 // PP_1023 // PP_0665 // PP_1009 // PP_2149 // PP_3443 // PP_4963 // PP_1612 // PP_4301 // PP_1362 // PP_1011
Entner-Doudoroff shunt	eda // edd	KHG/KDPG aldolase // phosphogluconate dehydratase	PP_1024 // PP_1010
ethanol degradation I	yqhD	NAD(P)-dependent alcohol dehydrogenase	PP_2492
ethanol degradation II	yqhD // pedI // aldB-I // aldA // acsA-II // acsA-I	NAD(P)-dependent alcohol dehydrogenase // aldehyde dehydrogenase // aldehyde dehydrogenase // aldehyde dehydrogenase // acetyl-CoA synthetase // acyl-CoA synthetase	PP_2492 // PP_2680 // PP_0545 // PP_2487 // PP_4702 // PP_4487
ethanolamine utilization	eutB // eutC // maeB // pta // purT // yqhD	ethanolamine ammonia-lyase // malic enzyme B // phosphate acetyltransferase // phosphoribosylglycinamide formyltransferase // NAD(P)-dependent alcohol dehydrogenase	PP_0543 // PP_0542 // PP_5085 // PP_0774 // PP_1457 // PP_2492
ethylene glycol degradation	aldB-I // aldA // pedI // pedE // pedH	aldehyde dehydrogenase // aldehyde dehydrogenase // aldehyde dehydrogenase // Ca<sup>2+</sup>-dependent quinoprotein alcohol dehydrogenase // lanthanide-dependent quinoprotein ethanol dehydrogenase	PP_0545 // PP_2487 // PP_2680 // PP_2674 // PP_2679
fatty acid ?-oxidation I	fadBA // bktB // fadA // fadA // PP_2213 // acs // PP_3724 // fadE // PP_2048 // PP_4030 // PP_3732 // PP_3726 // PP_1845 // PP_2217 // fadB	"type II 3-hydroxyacyl-CoA dehydrogenase // &beta;-ketothiolase BktB // 3-ketoacyl-CoA thiolase // fatty acid oxidation complex, &beta; component // acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // medium-long chain acyl-CoA dehydrogenase // acyl-CoA dehydrogenase // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase // fatty acid oxidation complex, &alpha; component"	PP_2214 // PP_3754 // PP_2051 // PP_2137 // PP_2213 // PP_3458 // PP_3724 // PP_1893 // PP_2048 // PP_4030 // PP_3732 // PP_3726 // PP_1845 // PP_2217 // PP_2136
fatty acid ?-oxidation II (peroxisome)	PP_2213 // acs // PP_3724 // PP_2217 // fadBA // fadB // bktB // fadA // fadA	"acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // enoyl-CoA hydratase // type II 3-hydroxyacyl-CoA dehydrogenase // fatty acid oxidation complex, &alpha; component // &beta;-ketothiolase BktB // 3-ketoacyl-CoA thiolase // fatty acid oxidation complex, &beta; component"	PP_2213 // PP_3458 // PP_3724 // PP_2217 // PP_2214 // PP_2136 // PP_3754 // PP_2051 // PP_2137
fatty acid ?-oxidation III (unsaturated, odd number)	PP_4030 // PP_3732 // PP_3726 // PP_1845 // fadB	"enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // fatty acid oxidation complex, &alpha; component"	PP_4030 // PP_3732 // PP_3726 // PP_1845 // PP_2136
fatty acid biosynthesis initiation (bacteria and plants)	fabD // PP_4379 // accD // accA	malonyl-CoA-ACP transacylase // 3-oxoacyl-ACP synthase // acetyl-CoA carboxylase carboxyltransferase	PP_1913 // PP_4379 // PP_1996 // PP_1607
fatty acid elongation -- saturated	fabA // fabZ // PP_1852 // fabG // PP_2783 // PP_2503 // PP_2175 // PP_0581 // fabB // PP_3303 // fabF // PP_2781 // PP_2779 // PP_4379	3R-3-hydroxydecanoyl-ACP dehydratase // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // enoyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // beta-ketoacyl-ACP synthase II // beta-ketoacyl synthase // 3-oxoacyl-ACP synthase	PP_4174 // PP_1602 // PP_1852 // PP_1914 // PP_2783 // PP_2503 // PP_2175 // PP_0581 // PP_4175 // PP_3303 // PP_1916 // PP_2781 // PP_2779 // PP_4379
fatty acid salvage	PP_3015 // PP_2213 // acs // PP_3724 // PP_0763 // PP_2217 // fadA // fadA // bktB // fadBA // fadB // PP_4545 // PP_2048 // fadE // PP_2437 // PP_0368	"medium-chain acyl-CoA ligase domain-containing protein // acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // medium-chain-fatty acid CoA ligase // enoyl-CoA hydratase // fatty acid oxidation complex, &beta; component // 3-ketoacyl-CoA thiolase // &beta;-ketothiolase BktB // type II 3-hydroxyacyl-CoA dehydrogenase // fatty acid oxidation complex, &alpha; component // beta-ketodecanoyl-ACP synthase // acyl-CoA dehydrogenase // medium-long chain acyl-CoA dehydrogenase // medium-chain acyl-CoA dehydrogenase // phenylacyl-CoA dehydrogenase"	PP_3015 // PP_2213 // PP_3458 // PP_3724 // PP_0763 // PP_2217 // PP_2137 // PP_2051 // PP_3754 // PP_2214 // PP_2136 // PP_4545 // PP_2048 // PP_1893 // PP_2437 // PP_0368
ferulate degradation	fcs // ech	feruloyl-CoA-synthase // feruloyl-CoA hydratase-lyase	PP_3356 // PP_3358
flavin biosynthesis I (bacteria and plants)	ribF // ribC // ribE // ribH // had // ribB // ribD // ribAB-II // ribA // ribAB-I	bifunctional riboflavin kinase/FMN adenylyltransferase // riboflavin synthase // riboflavin synthase // 6,7-dimethyl-8-ribityllumazine synthase // (S)-2-haloacid dehalogenase // 3,4-dihydroxy-2-butanone-4-phosphate synthase // bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase // 3,4-dihydroxy-2-butanone-4-phosphate synthase // GTP cyclohydrolase II // bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II	PP_0602 // PP_2916 // PP_0515 // PP_0517 // PP_5231 // PP_0530 // PP_0514 // PP_3813 // PP_0522 // PP_0516
folate polyglutamylation	folC // folD-I // glyA-II // glyA-I	bifunctional folypolyglutamate synthase/dihydrofolate synthase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // serine hydroxymethyltransferase // serine hydroxymethyltransferase	PP_1997 // PP_1945 // PP_0671 // PP_0322
folate transformations I	fau // metF // PP_4638 // metH // gcvT-II // gcvH-II // gcvH-I // gcvT-I // gcvP-I // gcvP-II // lpdG // purU-III // purU-II // purU-I // folD-II // folD-I // glyA-II // glyA-I	5-formyltetrahydrofolate cyclo-ligase // 5,10-methylenetetrahydrofolate reductase // methylenetetrahydrofolate reductase // cobalamin-dependent methionine synthase // glycine cleavage system // formyltetrahydrofolate deformylase // formyltetrahydrofolate hydrolase // formyltetrahydrofolate deformylase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // serine hydroxymethyltransferase // serine hydroxymethyltransferase	PP_5203 // PP_4977 // PP_4638 // PP_2375 // PP_5194 // PP_5193 // PP_0989 // PP_0986 // PP_0988 // PP_5192 // PP_4187 // PP_1943 // PP_1367 // PP_0327 // PP_2265 // PP_1945 // PP_0671 // PP_0322
formaldehyde oxidation II (glutathione-dependent)	frmC // frmA	S-formylglutathione hydrolase/S-lactoylglutathione hydrolase // glutathione-dependent formaldehyde dehydrogenase	PP_1617 // PP_1616
formaldehyde oxidation IV (thiol-independent)	pedI // aldB-I // aldA // fdhB // fdhA	aldehyde dehydrogenase // aldehyde dehydrogenase // aldehyde dehydrogenase // formaldehyde dehydrogenase 2 // formaldehyde dehydrogenase 1	PP_2680 // PP_0545 // PP_2487 // PP_3970 // PP_0328
formaldehyde oxidation VII (THF pathway)	folD-II // folD-I // purU-III // purU-II // purU-I	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // formyltetrahydrofolate deformylase // formyltetrahydrofolate hydrolase // formyltetrahydrofolate deformylase	PP_2265 // PP_1945 // PP_1943 // PP_1367 // PP_0327
formate assimilation into 5,10-methylenetetrahydrofolate	folD-II // folD-I	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	PP_2265 // PP_1945
formate oxidation to CO2	fmdH // fmdF // fmdG // fmdE // fdoI // fdoH // fdoG	formate dehydrogenase 2 // formate dehydrogenase 1	PP_2186 // PP_2184 // PP_2185 // PP_2183 // PP_0491 // PP_0490 // PP_0489
fructose degradation	fruK	1-phosphofructokinase monomer	PP_0794
gallate degradation I	glllA // gllD // gllB // gllC	gallate dioxygenase // 4-oxalomesaconate tautomerase // 4-oxalmesaconate hydratase // 4-hydroxy-4-methyl-2-oxoglutarate aldolase aldolase	PP_2518 // PP_2513 // PP_2515 // PP_2514
GDP-mannose biosynthesis	PP_4860 // PP_1776 // algC // cpsG // algA // pgi-2 // pgi-1	mannose-6-phosphate isomerase // bifunctional mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase // phosphomannomutase/phosphoglucomutase // phosphomannomutase // mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase // glucose 6-phosphate isomerase // glucose 6-phosphate isomerase	PP_4860 // PP_1776 // PP_5288 // PP_1777 // PP_1277 // PP_4701 // PP_1808
geranyl diphosphate biosynthesis	ispA	farnesyl diphosphate synthase	PP_0528
gluconeogenesis I	fbp // fba // PP_0665 // gapA // gapB // PP_3443 // pgk // gpmI // eno // ppsA // maeB // tpiA // mdh // pgi-2 // pgi-1	class 1 fructose-1,6-bisphosphatase // fructose-bisphosphate aldolase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // phosphoglycerate kinase // 2,3-bisphosphoglycerate-independent phosphoglycerate mutase // enolase // phosphoenolpyruvate synthetase // malic enzyme B // triose phosphate isomerase // malate dehydrogenase // glucose 6-phosphate isomerase // glucose 6-phosphate isomerase	PP_5040 // PP_4960 // PP_0665 // PP_1009 // PP_2149 // PP_3443 // PP_4963 // PP_5056 // PP_1612 // PP_2082 // PP_5085 // PP_4715 // PP_0654 // PP_4701 // PP_1808
glucose and glucose-1-phosphate degradation	PP_2052 // gnl // pgm // algC // glk // gcd	bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase // gluconolactonase // phosphoglucomutase // phosphomannomutase/phosphoglucomutase // glucokinase // quinoprotein glucose dehydrogenase	PP_2052 // PP_1170 // PP_3578 // PP_5288 // PP_1011 // PP_1444
glucose degradation (oxidative)	kguK // kguD // PP_3384 // PP_3383 // PP_3382 // gnl // gcd	2-ketogluconokinase // phosphogluconate 2-dehydrogenase // gluconate 2-dehydrogenase // gluconolactonase // quinoprotein glucose dehydrogenase	PP_3378 // PP_3376 // PP_3384 // PP_3383 // PP_3382 // PP_1170 // PP_1444
glucose metabolism (Pseudomonas putida)	fba // tpiA // PP_0665 // gapA // gapB // PP_3443 // pgk // eno // pykF // pykA // pgi-2 // pgi-1 // glk // gpmI // rpe // rpiA // tktA // fbp // kguK // kguD // PP_3384 // PP_3383 // PP_3382 // gnl // gcd // gntZ // zwf-3 // zwf-2 // zwf-1 // pgl // eda // edd // gnuK	fructose-bisphosphate aldolase // triose phosphate isomerase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // glyceraldehyde-3-phosphate dehydrogenase // phosphoglycerate kinase // enolase // pyruvate kinase // pyruvate kinase II // glucose 6-phosphate isomerase // glucose 6-phosphate isomerase // glucokinase // 2,3-bisphosphoglycerate-independent phosphoglycerate mutase // ribulose-5-phosphate 3-epimerase // ribose-5-phosphate isomerase A // transketolase A // class 1 fructose-1,6-bisphosphatase // 2-ketogluconokinase // phosphogluconate 2-dehydrogenase // gluconate 2-dehydrogenase // gluconolactonase // quinoprotein glucose dehydrogenase // 6-phosphogluconate dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate 1-dehydrogenase // glucose 6-phosphate-1-dehydrogenase // 6-phosphogluconolactonase // KHG/KDPG aldolase // phosphogluconate dehydratase // D-gluconate kinase	PP_4960 // PP_4715 // PP_0665 // PP_1009 // PP_2149 // PP_3443 // PP_4963 // PP_1612 // PP_4301 // PP_1362 // PP_4701 // PP_1808 // PP_1011 // PP_5056 // PP_0415 // PP_5150 // PP_4965 // PP_5040 // PP_3378 // PP_3376 // PP_3384 // PP_3383 // PP_3382 // PP_1170 // PP_1444 // PP_4043 // PP_5351 // PP_4042 // PP_1022 // PP_1023 // PP_1024 // PP_1010 // PP_3416
glutaminyl-tRNAgln biosynthesis via transamidation	gltX // gltB // gltD // carA // carB // guaA // asnB // pyrG // hisF // hisH // ansB // gatC // gatB // gatA // PP_t69 // PP_t41	glutamate--tRNA ligase // L-glutamate synthase // carbamoyl-phosphate synthase // glutamine-hydrolyzing GMP synthase // asparagine synthetase // CTP synthase // imidazole glycerol phosphate synthase // glutaminase-asparaginase // aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase	PP_1977 // PP_5076 // PP_5075 // PP_4724 // PP_4723 // PP_1032 // PP_1750 // PP_1610 // PP_0293 // PP_0290 // PP_2453 // PP_0932 // PP_0930 // PP_0931 // PP_t69 // PP_t41
glutarate degradation	lhgO // csiD	(<i>S</i>)-2-hydroxyglutarate oxidase // glutarate dioxygenase	PP_2910 // PP_2909
glutaryl-CoA degradation	gcdH // yqeF // bktB // PP_2215 // fadBA // hbd // fadB // PP_2217	"glutaryl-CoA dehydrogenase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB // acetyl-CoA acetyltransferase // type II 3-hydroxyacyl-CoA dehydrogenase // 3-hydroxybutyryl-CoA dehydrogenase // fatty acid oxidation complex, &alpha; component // enoyl-CoA hydratase"	PP_0158 // PP_4636 // PP_3754 // PP_2215 // PP_2214 // PP_3755 // PP_2136 // PP_2217
glutathione biosynthesis	gshA // gshB	glutamate--cysteine ligase // glutathione synthetase	PP_0243 // PP_4993
glutathione-glutaredoxin redox reactions	grxC // grx	glutaredoxin // glutaredoxin	PP_5054 // PP_2958
glutathione-peroxide redox reactions	PP_0777 // PP_1686 // gor	glutathione peroxidase // glutathione peroxidase // glutathione reductase	PP_0777 // PP_1686 // PP_3819
glycerol and glycerophosphodiester degradation	glpK // glpF // ugpQ // glpD	glycerol kinase // aquaglyceroporin // glycerophosphoryl diester phosphodiesterase // aerobic glycerol-3-phosphate dehydrogenase	PP_1075 // PP_1076 // PP_2152 // PP_1073
glycerol degradation I	glpK // glpD // glpF	glycerol kinase // aerobic glycerol-3-phosphate dehydrogenase // aquaglyceroporin	PP_1075 // PP_1073 // PP_1076
glycerol-3-phosphate to cytochrome bo oxidase electron transfer	glpD // cyoA // cyoB // cyoC // cyoD	aerobic glycerol-3-phosphate dehydrogenase // cytochrome <i>bo<sub>3</sub></i> terminal oxidase	PP_1073 // PP_0812 // PP_0813 // PP_0814 // PP_0815
glycerophosphodiester degradation	ugpQ // glpD	glycerophosphoryl diester phosphodiesterase // aerobic glycerol-3-phosphate dehydrogenase	PP_2152 // PP_1073
glycine betaine biosynthesis I (Gram-negative bacteria)	betA-II // betA-I // betB	choline dehydrogenase // choline dehydrogenase // NAD-dependent betaine aldehyde dehydrogenase	PP_5064 // PP_0056 // PP_5063
glycine biosynthesis I	glyA-II // glyA-I	serine hydroxymethyltransferase // serine hydroxymethyltransferase	PP_0671 // PP_0322
glycine biosynthesis II	PP_1944 // gcvT-II // gcvH-II // gcvH-I // gcvT-I // gcvP-I // gcvP-II // lpdG	glycine dehydrogenase // glycine dehydrogenase // aminomethyltransferase // aminomethyltransferase // aminomethyltransferase // glycine cleavage system // lipoamide dehydrogenase lpdG dimer	PP_1944 // PP_5194 // PP_5193 // PP_0989 // PP_0986 // PP_0988 // PP_5192 // PP_4187
glycine biosynthesis IV	ltaE	low specificity l-threonine aldolase	PP_0321
glycine cleavage	PP_1944 // gcvT-II // gcvH-II // gcvH-I // gcvT-I // gcvP-I // gcvP-II // lpdG	glycine dehydrogenase // glycine dehydrogenase // aminomethyltransferase // aminomethyltransferase // aminomethyltransferase // glycine cleavage system // lipoamide dehydrogenase lpdG dimer	PP_1944 // PP_5194 // PP_5193 // PP_0989 // PP_0986 // PP_0988 // PP_5192 // PP_4187
glycogen biosynthesis I (from ADP-D-Glucose)	glgA // glgB // pgm // algC	glycogen synthase // 1,4-alpha-glucan branching enzyme // phosphoglucomutase // phosphomannomutase/phosphoglucomutase	PP_4050 // PP_4058 // PP_3578 // PP_5288
glycogen degradation II	glgP // pgm // algC // malQ // glk	glycogen phosphorylase // phosphoglucomutase // phosphomannomutase/phosphoglucomutase // 4-alpha-glucanotransferase // glucokinase	PP_5041 // PP_3578 // PP_5288 // PP_4052 // PP_1011
glycolate and glyoxylate degradation I	gcl // glxR // garK // eno // pykF // pykA	glyoxylate carboligase // 2-hydroxy-3-oxopropionate reductase // glycerate kinase // enolase // pyruvate kinase // pyruvate kinase II	PP_4297 // PP_4299 // PP_3178 // PP_1612 // PP_4301 // PP_1362
glycolate and glyoxylate degradation II	glcB	malate synthase G	PP_0356
glyoxylate cycle	glcB // aceA // gltA // acnB // acnA2 // acnA1 // mdh	malate synthase G // isocitrate lyase // citrate synthase // aconitate hydratase B // aconitate hydratase // aconitate hydratase // malate dehydrogenase	PP_0356 // PP_4116 // PP_4194 // PP_2339 // PP_2336 // PP_2112 // PP_0654
guanine and guanosine salvage	xpt // PP_0747 // ppnP	xanthine phosphoribosyltransferase // hypoxanthine-guanine phosphoribosyltransferase // Pyrimidine/purine nucleoside phosphorylase	PP_5265 // PP_0747 // PP_4248
guanosine deoxyribonucleotides de novo biosynthesis I	nrdA // nrdB // ndk	ribonucleoside-diphosphate reductase // nucleoside diphosphate kinase	PP_1179 // PP_1177 // PP_0849
guanosine nucleotides degradation III	guaD // PP_2531 // PP_0094 // yrfG // ushA // surE // xdhC // xdhA // xdhB // PP_4234 // ppnP	guanine deaminase // 5-nucleotidase // 5'-nucleotidase // purine nucleotidase // 5'-nucleotidase/2',3'-cyclic phosphodiesterase // 5'-nucleotidase SurE // xanthine dehydrogenase // bifunctional aldehyde oxidase/xanthine dehydrogenase // Pyrimidine/purine nucleoside phosphorylase	PP_4281 // PP_2531 // PP_0094 // PP_0259 // PP_1414 // PP_1620 // PP_4280 // PP_4278 // PP_4279 // PP_4234 // PP_4248
guanosine ribonucleotides de novo biosynthesis	guaB // guaA // gmk // ndk	IMP dehydrogenase and single strand DNA binding factor // glutamine-hydrolyzing GMP synthase // deoxyguanylate kinase/guanylate kinase // nucleoside diphosphate kinase	PP_1031 // PP_1032 // PP_5296 // PP_0849
guanylyl molybdenum cofactor biosynthesis	mobA	molybdenum cofactor guanylyltransferase	PP_3457
heme a biosynthesis	cyoE	protoheme IX farnesyltransferase	PP_0816
heme b biosynthesis I (aerobic)	hemE // hemJ // hemH // hemF	uroporphyrinogen decarboxylase // protoporphyrinogen oxidase // ferrochelatase // coproporphyrinogen-III oxidase	PP_5074 // PP_0431 // PP_0744 // PP_0073
hydrogen sulfide biosynthesis I	tyrB // sseA	aromatic amino acid aminotransferase // 3-mercaptopyruvate sulfurtransferase	PP_1972 // PP_5118
indole-3-acetate biosynthesis III (bacteria)	davB // PP_5629 // PP_2932 // PP_0613	lysine 2-monooxygenase // protease/amidase // amidase family protein // amidase family protein	PP_0383 // PP_5629 // PP_2932 // PP_0613
indole-3-acetate biosynthesis IV (bacteria)	PP_5629 // PP_2932 // PP_0613	protease/amidase // amidase family protein // amidase family protein	PP_5629 // PP_2932 // PP_0613
inosine 5'-phosphate degradation	guaB // PP_2531 // PP_0094 // yrfG // ushA // surE // PP_3254 // xdhC // xdhA // xdhB // PP_4234	IMP dehydrogenase and single strand DNA binding factor // 5-nucleotidase // 5'-nucleotidase // purine nucleotidase // 5'-nucleotidase/2',3'-cyclic phosphodiesterase // 5'-nucleotidase SurE // nucleosidase // xanthine dehydrogenase // bifunctional aldehyde oxidase/xanthine dehydrogenase	PP_1031 // PP_2531 // PP_0094 // PP_0259 // PP_1414 // PP_1620 // PP_3254 // PP_4280 // PP_4278 // PP_4279 // PP_4234
inosine-5'-phosphate biosynthesis I	purC // purB // purH // purE // purK	phosphoribosylaminoimidazole-succinocarboxamide synthase // adenylosuccinate lyase // bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase // 5-(carboxyamino)imidazole ribonucleotide mutase // 5-(carboxyamino)imidazole ribonucleotide synthase	PP_1240 // PP_4016 // PP_4822 // PP_5336 // PP_5335
Kdo transfer to lipid IVA IV (P.putida)	waaA	3-deoxy-D-manno-octulosonic acid transferase	PP_4928
L-alanine biosynthesis II	alaA // alaC	glutamate-pyruvate aminotransferase // alanine transaminase	PP_1872 // PP_0817
L-alanine biosynthesis III	iscS-II // csdA // iscS-I	cysteine desulfurase // cysteine desulfurase // cysteine desulfurase	PP_2435 // PP_1529 // PP_0842
